Date,Hour,MCP
03/01/2024,6,2439.62
03/01/2024,7,3702.65
03/01/2024,8,7552.5675
03/01/2024,9,10000.0
03/01/2024,10,10000.0
03/01/2024,11,9892.5
03/01/2024,12,4880.8925
03/01/2024,13,3899.985
03/01/2024,14,3219.5125
03/01/2024,15,3347.16
03/01/2024,16,3558.705
03/01/2024,17,7048.05
03/01/2024,18,10000.0
03/01/2024,19,10000.0
03/01/2024,20,9407.41
03/01/2024,21,4724.61
03/01/2024,22,3128.855
03/01/2024,23,2625.385
03/01/2024,24,2405.3375
03/02/2024,1,3558.645
03/02/2024,2,3463.0699999999997
03/02/2024,3,3199.2125
03/02/2024,4,3083.4175
03/02/2024,5,3286.9225
03/02/2024,6,3580.7
03/02/2024,7,8144.3625
03/02/2024,8,10000.0
03/02/2024,9,10000.0
03/02/2024,10,10000.0
03/02/2024,11,8687.5425
03/02/2024,12,4899.935
03/02/2024,13,3899.875
03/02/2024,14,3791.59
03/02/2024,15,3797.33
03/02/2024,16,4262.5650000000005
03/02/2024,17,7085.325
03/02/2024,18,10000.0
03/02/2024,19,10000.0
03/02/2024,20,10000.0
03/02/2024,21,8433.2675
03/02/2024,22,5328.7825
03/02/2024,23,4126.2925
03/02/2024,24,3665.5075
03/03/2024,1,3124.5425
03/03/2024,2,2993.9700000000003
03/03/2024,3,2850.22
03/03/2024,4,2784.0299999999997
03/03/2024,5,2991.17
03/03/2024,6,3234.18
03/03/2024,7,3331.4275
03/03/2024,8,3642.145
03/03/2024,9,3641.65
03/03/2024,10,3743.4300000000003
03/03/2024,11,3322.7375
03/03/2024,12,3266.4925000000003
03/03/2024,13,3153.925
03/03/2024,14,2821.25
03/03/2024,15,2993.785
03/03/2024,16,3059.7625
03/03/2024,17,3170.9075000000003
03/03/2024,18,3167.8
03/03/2024,19,3481.99
03/03/2024,20,3848.2075
03/03/2024,21,3673.735
03/03/2024,22,3550.39
03/03/2024,23,3327.7625
03/03/2024,24,3249.885
03/04/2023,1,4506.35
03/04/2023,2,4345.555
03/04/2023,3,4123.6625
03/04/2023,4,4105.965
03/04/2023,5,4282.1875
03/04/2023,6,5816.84
03/04/2023,7,5037.76
03/04/2023,8,4614.235
03/04/2023,9,4011.65
03/04/2023,10,3784.4825
03/04/2023,11,3225.7725
03/04/2023,12,2917.6675
03/04/2023,13,2656.1175
03/04/2023,14,2513.26
03/04/2023,15,2710.5825
03/04/2023,16,3185.5325000000003
03/04/2023,17,3434.4125
03/04/2023,18,3692.13
03/04/2023,19,5055.5875
03/04/2023,20,5086.335
03/04/2023,21,4445.53
03/04/2023,22,4644.1375
03/04/2023,23,5644.68
03/04/2023,24,5175.8099999999995
03/05/2023,1,3549.525
03/05/2023,2,3428.95
03/05/2023,3,3234.58
03/05/2023,4,2997.415
03/05/2023,5,3115.995
03/05/2023,6,3593.8
03/05/2023,7,3593.6549999999997
03/05/2023,8,3221.8925
03/05/2023,9,2749.73
03/05/2023,10,2570.33
03/05/2023,11,2137.05
03/05/2023,12,1999.615
03/05/2023,13,1999.3775
03/05/2023,14,1969.6924999999999
03/05/2023,15,1999.5275
03/05/2023,16,2249.4825
03/05/2023,17,2634.915
03/05/2023,18,2865.665
03/05/2023,19,3620.715
03/05/2023,20,5463.3825
03/05/2023,21,4227.7075
03/05/2023,22,4010.4674999999997
03/05/2023,23,3774.0550000000003
03/05/2023,24,3740.475
03/06/2023,1,10000.0
03/06/2023,2,8614.6425
03/06/2023,3,6050.7825
03/06/2023,4,5221.2625
03/06/2023,5,4827.45
03/06/2023,6,5257.38
03/06/2023,7,3997.72
03/06/2023,8,3015.6825
03/06/2023,9,2883.7325
03/06/2023,10,3120.075
03/06/2023,11,3429.1575000000003
03/06/2023,12,3548.355
03/06/2023,13,3538.5924999999997
03/06/2023,14,3494.73
03/06/2023,15,3898.2025
03/06/2023,16,4132.674999999999
03/06/2023,17,4294.03
03/06/2023,18,4404.9775
03/06/2023,19,4757.1
03/06/2023,20,10000.0
03/06/2023,21,10000.0
03/06/2023,22,10000.0
03/06/2023,23,10000.0
03/06/2023,24,10000.0
